May reservation akó.	I have a reservation.
May nakákakita kayâ sa atin?	Could somebody see / be observing us?
Mamayâ na kitá túturuan kasí may ginagawâ pa akó.	I will teach you later because I'm still doing something.
Sumilip ka sa pintô at tignan mo kung may tao sa loób.	Peek through the door and see if there's someone inside.
Nakákapuntá lang si Nora sa sementeryo kapág may kasama siyá.	Nora is only able to go to the cemetery when she has somebody with her.
Walâ akóng natátandaán na may sinabi kang ganun.	I don't remember you saying anything to that effect.
Bantayán mo ang pintô at bakâ may makapasok.	Guard the door as someone might be able to get in.
Sásayá siyá kapág nalaman niyáng may regalo ka (para) sa kaniyá.	She will be happy when she finds out that you have a gift for her.
May isinúsumbóng sa akin si Jim kanina.	Jim was divulging something to me earlier.
Bakit mo itinatagò na may asawa ka na?	Why are you keeping your being married a secret?
May kilala ka bang nagbebenta ng kotseng second-hand?	Would you know of anyone who's selling a second-hand car?
Sino ang nag-áalagà sa iyó kapág may sakít ka?	Who takes care of you when you're sick?
May aangal ba kung hindî tayo magkákaroón ng Christmas party?	Would anybody protest if we will not be holding a Christmas party?
Tátabí ka kapág may dumadaáng sasakyán.	You should move aside when a vehicle is passing through.
May natítikmán akóng parang mansanas sa pagkaing itó.	I can taste an apple-like flavor in this dish.
Sino ang nagdádalá sa iyó sa ospitál kapág may sakít ka?	Who takes you to the hospital whenever you're sick?
Hindî naramdamán ni Tom na may dumukot na palá ng pitaka niyá sa bulsá.	Tom did not notice that someone already picked his wallet from his pocket.
Ang mga taong may kapansanan ay hindî dapat pinagtátawanán.	People who are disabled should not be laughed at.
May nakalabás na balitang ikinasál silá nang lihim.	News leaked out that they had a secret wedding.
May binábanggít siyáng pangalan pero hindî ko kilala ang taong iyón.	She was mentioning a name but I don't know who that person is.
May nakákariníg ba sa inyó nung tunóg na naririníg ko?	Are any of you able to hear that sound I am hearing?
Sino ang nilálapitan mo kapág may problema ka sa pera?	Whom do you approach for help when you have money problems?
May mga umaakyát sa Mt. Everest na hindî na nakákabalík.	There are some who climb up Mt. Everest and don't come down anymore.
Hindî na magtátagál ang buhay ng lola kong may sakít.	My sick grandma does not have much time left to live.
Magtátanóng lang pô kung may kilala kayóng Alice dito.	I just would like to ask, sir, if you know of an Alice who lives around here.
Akó ay may kaibigan sa Australia.	I have a friend in Australia
May itinatagò ka ba sa amin?	Is there something you're not telling us?
May kanser na si Tom sa bagà. Sinísingíl na siyá sa kaniyáng paninigarilyo dati.	Tom already has lung cancer. He is now paying the price for his smoking habit in the past.
May welga.	There is a strike.
May aso siya.	He has a dog.
May nangyari.	Something happened.
May dumating.	Someone came.
May sakit ako!	I'm sick!
May nakita ako.	I saw something.
Sinong may alam?	Who knows?
May saging tayo.	We have bananas.
May saging kami.	We have bananas.
May baso sa mesa.	There is a glass on the table.
May pangsulat ka?	Do you have a pen on you?
May ginagawa sila.	They're busy.
Ako'y may ginagawa.	I am busy.
May bahay sa burol.	There is a house on the hill.
May klase ako bukas.	I have class tomorrow.
May diksyunaryo ako.	I have a dictionary.
Sinong may pakialam?	Who cares?
May talong bang puti?	Is there a white eggplant?
May gagawin ka bukas?	Are you free tomorrow?
May nararamdaman ako.	I feel something.
Nasaan ang may botika?	Where is there a drugstore?
May kuwan siya sa ano.	He has something to do with the matter.
May sakit ang lola ko.	My grandmother is sick.
May ubo ka ba o sipon?	Have you got cough or cold?
